LAKE,AREA_NAME,HAB_TYPE,HAB_DESC,LAT,LONG,DEPTH_FT,MARKED,BANK_ACC,DATE_INST
Adair,South dock,Spider Blocks,25 spider blocks,35.832545,-94.627109,6,N,Y,7/13/2022
Adair,Central point,Spider Blocks,15 spider blocks,35.832838,-94.62666,6,Y,Y,10/21/2019
Adair,dock,Spider Blocks,15 spider blocks,35.832989,-94.627945,8,N,Y,10/21/2019
Altus Lugert,Dock,Combination,Spider blocks and cedars,34.895429,-99.29756,10,Y,Y,10/12/2020
Arbuckle,Middle Buckhorn Arm,Combination,Cedar trees & Shelbyville Cube,34.423611,-97,16,Y,N,7/18/2024
Arbuckle,2nd Cove East of Dam,Combination,Cedar trees & Shelbyville Cubes,34.426667,-97.010278,12,Y,N,7/17/2024
Arbuckle,1st Cove East of Dam,Brush Pile,Cedar trees,34.43,-97.018056,15,Y,N,7/16/2024
Arbuckle,Middle of Guy Sandy (South),Brush Pile,Cedar trees,34.4425,-97.035833,14,Y,N,7/15/2024
Arbuckle,Upper Guy Sandy (East),Brush Pile,Cedar trees,34.471111,-97.03,16,Y,N,7/14/2024
Arbuckle,Middle of Guy Sandy (East),Combination,Cedar trees & Shelbyville Cube,34.448056,-97.029167,17,Y,N,7/13/2024
Arbuckle,Middle Guy Sandy (East),Brush Pile,Cedar trees,34.446389,-97.025556,11,Y,N,7/12/2024
Arbuckle,Mouth of Rock Creek (West),Combination,Cedar trees & Shelbyville Cube,34.446667,-97.017778,11,Y,N,7/11/2024
Arbuckle,Rock Creek 2nd Cove (North),Combination,Cedar trees & Shelbyville Cube,34.456944,-97.018889,12,Y,N,7/10/2024
Arbuckle,Rock Creek 3rd Cove (North),Brush Pile,Cedar trees,34.459722,-97.015833,20,Y,N,7/9/2024
Arbuckle,Upper Rock Creek South,Brush Pile,Cedar trees,34.468611,-97.010556,15,Y,N,7/8/2024
Arbuckle,Middle Rock Creek (East),Combination,Cedar trees & Shelbyville Cube,34.4575,-97.010556,12,Y,N,7/6/2024
Arbuckle,Upper Rock Creek South,Combination,Cedar trees & Shelbyville Cube,34.465833,-97.008333,18,Y,N,7/6/2024
Arbuckle,Cove by water intake,Combination,Cedar trees & Shelbyville Cubes,34.449167,-97.006944,18,Y,N,7/5/2024
Arbuckle,Buckhorn #1 Cove North,Brush Pile,Cedar trees,34.439167,-97.004722,20,Y,N,7/4/2024
Arbuckle,Middle Buckhorn Arm (North),Brush Pile,Cedar trees,34.432222,-97.001389,18,Y,N,7/3/2024
Arbuckle,Upper Buckhorn Arm (North),Combination,Cedar trees & Shelbyville Cube,34.426111,-96.990278,14,Y,Y,7/2/2024
Arbuckle,Upper Buckhorn Creek,Brush Pile,Cedar trees,34.420278,-96.984444,14,Y,N,7/1/2024
Arcadia,Deep Fork South Eagle Tower point,Brush Pile,Cedar trees,35.629,-97.3884,11,N,N,2/23/2023
Arcadia,Douglas ramp point,Brush Pile,Cedar trees,35.63127,-97.37086,12,Y,N,2/23/2023
Arcadia,Tinker Creek (channel),Brush Pile, ,35.628611,-97.370278,10,Y,N,2/23/2023
Arcadia,Deep Fork - 33rd St. Ramp,Brush Pile,cedar trees,35.62435,-97.39253,8,N,Y,2/23/2023
Arcadia,Deep Fork South - timbered,Brush Pile,cedar trees,35.628,-97.386,11.5,Y,N,2/23/2023
Arcadia,Spencer Creek Point - house foundation,Brush Pile,cedar trees,35.639,-97.367,14,Y,N,2/23/2023
Arcadia,Tinker Creek East - snag,Brush Pile,cedar trees,35.627,-97.369,11,N,N,2/23/2023
Arcadia,15th St. - House foundation point,Brush Pile,cedar trees,35.64,-97.381,11,N,N,2/23/2023
Arcadia,Spring creek dock (Rustys dock),Combination,Cedar trees & spider blocks,35.63627,-97.3783,15,N,Y,2/23/2023
Arcadia,Cottonwood Campground,Brush Pile,Cedar trees,35.64507,-97.37982,8,Y,Y,7/10/2018
Arcadia,Spring Crk. Rip-rap,Brush Pile,Cedar trees,35.64132,-97.38199,16,Y,Y,7/10/2018
Arcadia,Spring creek rip-rap south(Dicks hole),Brush Pile,Cedar trees,35.64062,-97.38148,10,N,Y,7/10/2018
Arcadia,Parking lot point,Brush Pile,Cedar trees,35.64214,-97.38269,0,N,Y,7/10/2018
Arcadia,Spring Crk. Boat Ramp,Brush Pile,Cedar trees,35.64251,-97.38359,0,N,Y,7/10/2018
Arcadia,Comanche Pavilion cove,Brush Pile,Cedar trees,35.64219,-97.38508,0,Y,N,7/10/2018
Arcadia,Edmond Park point,Brush Pile,Cedar trees,35.64632,-97.38677,0,Y,Y,7/10/2018
Arcadia,"Lake patrol cove, North",Brush Pile,Cedar trees,35.64815,-97.38549,0,N,Y,7/10/2018
Arcadia,Creek Pavilion Point,Brush Pile,Cedar trees,35.64573,-97.37491,8,N,Y,7/10/2018
Arcadia,Covered Spring Ck. Dock,Brush Pile,Cedar trees,35.6422,-97.38347,15,N,Y,7/10/2018
Arcadia,Overlook point,Brush Pile,Cedar trees,35.64953,-97.36683,10,N,Y,7/10/2018
Arcadia,Old brush row,Brush Pile,Cedar trees,35.64209,-97.38615,0,N,N,7/10/2018
Arcadia,Midwest blvd. Bend,Brush Pile,Cedar trees,35.6421,-97.38905,0,N,N,7/10/2018
Arcadia,Spring creek upper,Brush Pile,Cedar trees,35.64306,-97.39039,0,N,N,7/10/2018
Arcadia,Spencer Creek Bluff,Brush Pile,Cedar trees,35.63705,-97.3625,15,N,N,7/5/2013
Arcadia,Spring Creek Mouth North,Brush Pile, ,35.64481,-97.379,8,Y,Y,1/1/2010
Arcadia,Spring Creek Dock,Brush Pile, ,35.64238,-97.38493,8,N,Y,1/1/2010
Arcadia,Edmond Park Ramp,Brush Pile, ,35.64626,-97.38672,10,Y,Y,1/1/2010
Arcadia,Central State Cove East,Brush Pile, ,35.64582,-97.3752,11,N,Y,1/1/2010
Arcadia,Spring Creek South (Mid Creek),Brush Pile, ,35.64317,-97.39053,12,N,Y,1/1/2010
Arcadia,Spring Creek South,Brush Pile, ,35.6425,-97.38904,15,Y,Y,1/1/2010
Arcadia,Comanche Pavilion,Brush Pile, ,35.64213,-97.38572,15,Y,Y,1/1/2010
Arcadia,Spring Creek Heated Dock,Brush Pile, ,35.64238,-97.38313,15,Y,Y,1/1/2010
Arcadia,Spring Creek South Rip Rap,Brush Pile, ,35.64154,-97.38224,0,Y,Y,1/1/2010
Ardmore City,Fishing Dock,Combination,Spider blocks & cedar trees,34.222893,-97.157116,9,Y,Y,12/4/2023
Ardmore City,Far North Cove,Brush Pile,Cedar trees,34.228611,-97.156944,14,Y,N,12/3/2023
Ardmore City,Cove East of Ramp,Brush Pile,Cedar trees,34.223028,-97.15125,13,Y,N,12/2/2023
Ardmore City,SE of Ramp,Brush Pile,Cedar trees,34.221556,-97.152972,14,Y,N,12/1/2023
Ardmore City Lake,South of fishing dock,Brush Pile,Cedar trees,34.22199,-97.15728,17,Y,N,12/5/2023
Ardmore City Lake,Southeast of Ramp,Brush Pile,Cedar trees,34.221556,-97.152972,17,Y,N,2/3/2016
Ardmore City Lake,Cove East of Ramp,Brush Pile,Cedar trees,34.223028,-97.15125,18,N,N,2/3/2016
Ardmore City Lake,Far North Cove,Brush Pile,Cedar trees,34.228611,-97.156944,18,Y,N,2/3/2016
Ardmore City Lake,Spider block site at fishing dock,Spider Blocks,Spider blocks,34.22289,-97.15711,9,N,Y,2/3/2016
Beggs,Boat Ramp,Brush Pile,13 Cedar Trees,35.74265,-96.02613,17,Y,Y,8/6/2019
Beggs,Telephone Poles,Brush Pile,11 Cedar Trees,35.74558,-96.02295,18,Y,N,8/6/2019
Beggs,North Bank,Brush Pile,9 Cedar Trees,35.7467,-96.02036,7,Y,Y,8/6/2019
Bell Cow,NE island,Brush Pile, ,35.735633,-96.91925,0,Y,Y,<Null>
Bell Cow,Fishing dock,Brush Pile, ,35.730283,-96.929033,0,Y,Y,<Null>
Bell Cow,Area C East bank,Brush Pile, ,35.731366,-96.937366,0,Y,Y,<Null>
Bixhoma,Mainlake point,Brush Pile,Assorted hardwood trees,35.89268,-95.79975,14,N,Y,9/18/2018
Bixhoma,Mainlake point,Brush Pile,Assorted hardwood trees,35.89258,-95.7998,20,N,N,9/18/2018
Bixhoma,North Bank,Brush Pile,Assorted hardwood trees,35.89282,-95.7984,18,N,Y,9/18/2018
Bixhoma, ,Brush Pile,Assorted hardwood trees,35.89583,-95.7974,12,N,N,9/18/2018
Bixhoma,Near Southwest dock,Brush Pile,Assorted hardwood trees,35.89464,-95.8017,10,N,Y,9/18/2018
Bixhoma,Near Southwest dock,Brush Pile,Assorted hardwood trees,35.89597,-95.80082,15,N,N,9/18/2018
Bixhoma,West Bank,Brush Pile,Assorted hardwood trees,35.89197,-95.80204,14,N,Y,9/18/2018
Bixhoma,South Bank,Brush Pile,Assorted hardwood trees,35.89019,-95.79587,12,N,N,9/18/2018
Bixhoma, ,Brush Pile,Assorted hardwood trees,35.88986,-95.79616,12,N,Y,9/18/2018
Bixhoma,South Bank,Brush Pile,Assorted hardwood trees,35.88987,-95.79749,14,N,Y,9/18/2018
Bluestem,Spillway Cove,Spider Blocks,Spider Blocks,36.69739,-96.39658,9,Y,y,12/18/2017
Bluestem,Spillway Cove,Spider Blocks,Spider Blocks,36.69378,-96.39655,13,Y,Y,12/18/2017
Broken Bow,Broken Bow 3,Other,Artificial structure,34.1771,-94.725,18,N,N,12/15/2023
Broken Bow,Broken Bow 4,Other,King Jacks,34.1936,-94.6589,18,N,N,12/15/2023
Broken Bow,Broken Bow 7,Other,Wood structures,34.1992,-94.6971,18,N,N,12/15/2023
Broken Bow,Broken Bow 1,PVC Structure,Cubes,34.1658,-94.7076,18,N,N,12/15/2023
Broken Bow,Broken Bow 9,PVC Structure,Cubes,34.1694,-94.707,18,N,N,12/15/2023
Broken Bow,Broken Bow 2,PVC Structure,Cubes,34.1849,-94.7337,18,N,N,12/15/2023
Broken Bow,Broken Bow 10,PVC Structure,Cubes,34.1814,-94.7165,18,N,N,12/15/2023
Broken Bow,Broken Bow 6,PVC Structure,Cubes,34.1822,-94.6681,18,N,N,12/15/2023
Broken Bow,Broken Bow 5,PVC Structure,Cubes,34.1636,-94.6647,18,N,N,12/15/2023
